date,cases,deaths,casespt,casespm,days
2020-05-01,1109433,64859,3.3517344850509976,3351.7344850509976,102
2020-05-02,1138901,66442,3.4407609623646187,3440.7609623646185,103
2020-05-03,1164994,67773,3.5195911467186405,3519.5911467186406,104
2020-05-04,1186919,68832,3.5858292869080373,3585.8292869080374,105
2020-05-05,1210626,71066,3.6574510697801026,3657.4510697801024,106
2020-05-06,1235131,73774,3.731483709476393,3731.4837094763934,107
2020-05-07,1263942,75733,3.818525308427213,3818.5253084272126,108
2020-05-08,1291526,77307,3.9018599884264975,3901.8599884264977,109
2020-05-09,1316441,78761,3.97713128889714,3977.1312888971397,110
2020-05-10,1336752,79692,4.038493335208968,4038.493335208968,111
2020-05-11,1354348,80681,4.091653030295518,4091.6530302955184,112
2020-05-12,1376639,82336,4.158996901810312,4158.996901810312,113
2020-05-13,1397780,84104,4.222866480909242,4222.866480909242,114
2020-05-14,1424734,85842,4.304297852889402,4304.297852889402,115
2020-05-15,1450963,87435,4.3835389100856474,4383.538910085647,116
2020-05-16,1474612,88660,4.454985467775,4454.985467775,117
